company_name,company_rating,industry,size,type,years_old,location
National Stock Exchange of India,3.7,Financial Services,1k-5k Employees,Fortune India 500,32,Chennai
Deccan iServices,3.6,,201-500 Employees,,,Chennai
Bharat Sanchar Nigam,4.0,Telecom,50k-1 Lakh Employees,Central,24,Chennai
Woosu Automotive India,3.6,Auto Components,,,17,Chennai
Jouve,4.3,Content Development,51-200 Employees,,,Chennai
Hariharan Foundations,4.5,Financial Services,51-200 Employees,,23,Chennai
Sicagen,4.0,Building Material,501-1k Employees,Public,20,Chennai
Basiz Fund Service,3.2,Accounting & Auditing,51-200 Employees,,18,Chennai
TSMT Technology India,3.2,Semiconductors,201-500 Employees (Global),,27,Chennai
Veremax Technologie Services,3.2,IT Services & Consulting,51-200 Employees,,11,Chennai
Veranda RACE,4.4,,,,,Chennai
National Contracting Company,4.2,Engineering & Construction,501-1k Employees,,57,Chennai
Faucone,4.8,IT Services & Consulting,51-200 Employees,,5,Chennai
"PKF Sridhar & Santhanam LLP, Chartered Accountants",3.6,Accounting & Auditing,501-1k Employees,,46,Chennai
Popular Vehicles and Services,4.1,Automobile,1k-5k Employees,,85,Chennai
Thomas Cook,3.9,Travel & Tourism,1k-5k Employees,Public,143,Chennai
NLC,4.5,Metals & Mining,10k-50k Employees,Fortune India 500,68,Chennai
FCA Engineering India,3.9,Industrial Machinery,1k-5k Employees,,,Chennai
Accel Limited,3.9,IT Services & Consulting,1k-5k Employees,Public,33,Chennai
Protechsoft Technologies,4.1,IT Services & Consulting,501-1k Employees (Global),,,Chennai
Giesecke & Devrient,3.9,IT Services & Consulting,1k-5k Employees,,172,Chennai
Apex CoVantage,3.6,IT Services & Consulting,51-200 Employees,,36,Chennai
Bank of Baroda,3.6,Banking,50k-1 Lakh Employees,Fortune India 500,116,Chennai
Fourkites,3.8,Software Product,201-500 Employees,Startup,10,Chennai
Lucas Indian Service,3.7,Auto Components,201-500 Employees,,94,Chennai
Nac Jewellers,4.5,Jewellery,201-500 Employees,,107,Chennai
Freightify,3.2,Internet,51-200 Employees,Startup,8,Chennai
ITC's Packaging and Printing Business,4.5,,,,,Chennai
Alliance Infrastructure Projects,4.2,Real Estate,1k-5k Employees,,20,Chennai
Intelizign Lifecycle Services,3.8,IT Services & Consulting,501-1k Employees,,18,Chennai
Jilaba Software Services,3.2,Software Product,,,24,Chennai
Softgel Healthcare,3.5,Pharma,51-200 Employees,,21,Chennai
Gh Induction,3.5,Industrial Machinery,11-50 Employees,,63,Chennai
ABI Showatech,3.9,Auto Components,1k-5k Employees,,33,Chennai
Puravankara,3.7,Real Estate,501-1k Employees,Public,49,Chennai
AGP City Gas,3.7,,201-500 Employees,,,Chennai
SunEdison Infrastructure,3.6,Power,201-500 Employees,Public,30,Chennai
L&T Infrastructure Development Projects,4.2,Engineering & Construction,501-1k Employees,,,Chennai
Natronix,3.5,Consumer Electronics & Appliances,201-500 Employees,Public,40,Chennai
Genxlead,3.8,Marketing & Advertising,201-500 Employees,,12,Chennai
Rentokil Pest Control,3.8,Facility Management Services,501-1k Employees,,70,Chennai
Yanmar Engine Manufacturing,4.2,,,,,Chennai
Spr Construction,4.1,Engineering & Construction,201-500 Employees,,15,Chennai
PNB MetLife,3.5,Insurance,5k-10k Employees,Conglomerate,23,Chennai
Shabari Telecable Network,3.6,Facility Management Services,1k-5k Employees (Global),,34,Chennai
FPL Automobiles,4.3,,201-500 Employees,,,Chennai
Multivista Global,4.3,Printing & Publishing,201-500 Employees,,50,Chennai
Athenese-dx,4.1,Healthcare,201-500 Employees,,12,Chennai
Porter,4.2,Internet,1k-5k Employees,Startup,10,Bangalore
GE Power Conversion,4.2,Power,201-500 Employees,,,Chennai
Renault,4.3,Automobile,10k-50k Employees,Forbes Global 2000,126,Boulogne Billancourt Cedex
TransSys Solutions,3.7,IT Services & Consulting,51-200 Employees,,14,Dubai
Akas Medical Equipment,3.8,Medical Equipment,11-50 Employees,,28,Chennai
C2C Engineering,4.3,Engineering & Construction,51-200 Employees,,,Chennai
Cookscape,4.6,,,,,Chennai
RNTBCIL,3.8,,5k-10k Employees,,,Chennai
OPTUMINSIGHT INDIA,4.3,,1k-5k Employees,,,Chennai
Workhall,4.3,Software Product,51-200 Employees,Startup,3,Chennai
Supreme Industries,4.2,Petrochemicals,5k-10k Employees,Public,82,Mumbai
Shriram Group,4.1,Financial Services,50k-1 Lakh Employees,Conglomerate,50,Chennai
TCE,3.8,Engineering & Construction,5k-10k Employees,,62,Mumbai
SoftwareONE,3.9,Software Product,1k-5k Employees,,24,Gurgaon/Gurugram
Scioinspire Consulting Services,3.7,Financial Services,11-50 Employees,,,Chennai
Westin,4.0,Hospitality,1k-5k Employees,,94,Kolkata
Creditmantri Finserve,2.7,Financial Services,51-200 Employees,,12,Chennai
Sundaram Home Finance,4.2,NBFC,1k-5k Employees,Public,25,Chennai
EagleBurgmann,3.9,Industrial Machinery,501-1k Employees,,140,Chennai
Healthwatch Telediagnostics,4.2,Healthcare,201-500 Employees,,14,Chennai
Rorito International,4.3,Other,501-1k Employees,,29,Chennai
Nova Techset,4.2,Printing & Publishing,51-200 Employees,,35,Chennai
Rapid Care,3.7,,11-50 Employees (Global),,25,Chennai
B. S. Abdur Rahman University,3.2,Engineering & Construction,501-1k Employees (Global),,40,Chennai
Reliance Trends,4.4,Retail,1 Lakh+ Employees,Conglomerate,18,Chennai
Suryadev Alloys And Power,4.1,Power,501-1k Employees,,18,Chennai
Flowserve Sanmar,3.7,Chemicals,51-200 Employees (Global),,37,Chennai
First Solar,3.9,Internet,5k-10k Employees (Global),,18,Chennai
Holiday Inn,4.2,Hospitality,1k-5k Employees,,72,Chennai
Modine Manufacturing,4.1,,201-500 Employees,,108,Chennai
Prumatech Infosystems,4.6,Industrial Machinery,51-200 Employees,,28,Chennai
UNIQ Technologies,4.2,Financial Services,11-50 Employees,,17,Chennai
Doyen Systems,4.0,IT Services & Consulting,51-200 Employees,,18,Chennai
Aditya Birla Money,3.7,,201-500 Employees,Public,68,Chennai
TCE,3.8,Engineering & Construction,5k-10k Employees,,62,Chennai
Apar Innosys,3.8,,201-500 Employees,,,Chennai
Vivriti Capital,4.0,Financial Services,201-500 Employees,Startup,7,Chennai
Tespa,3.6,Industrial Machinery,51-200 Employees,,50,Chennai
FOCUS EDUMATICS,3.4,EdTech,1k-5k Employees,,25,Chennai
le méridien,4.2,Hospitality,501-1k Employees,,52,Chennai
Usui Susira International,3.7,,51-200 Employees,,48,Chennai
Inscribe Graphics,3.5,Design,51-200 Employees,,15,Chennai
MedAbyss RCM Healthcare Services,3.3,Analytics & KPO,51-200 Employees,,,Chennai
Blackstone Group Technologies,3.3,Engineering & Construction,201-500 Employees,,31,Chennai
Ducont,4.0,IT Services & Consulting,51-200 Employees,,24,Chennai
TVS Automobiles Solutions,3.9,,,,13,Chennai
TVS Upasana Engineering,3.6,Automobile,51-200 Employees,Public,39,Chennai
Par Active Technologies,4.8,Pharma,501-1k Employees,,11,Chennai
Renaatus Projects,3.9,Engineering & Construction,201-500 Employees,,28,Chennai
Courtyard by Marriott,4.2,Hospitality,1k-5k Employees,Public,97,Chennai
Prumatech Services,4.3,Industrial Machinery,11-50 Employees,,28,Chennai
Nouveau Medicament,3.9,Pharma,51-200 Employees,,23,Chennai
Xyz Company,3.8,Financial Services,51-200 Employees (Global),,,Chennai
Verinite Technologies,4.0,FinTech,51-200 Employees,,13,Chennai
Sanofi,4.4,Pharma,1k-5k Employees,Public,20,Chennai
Bosch Power Tools,4.4,Industrial Machinery,201-500 Employees,,65,Chennai
Bct Consulting,3.2,Medical Equipment,,,,Chennai
NEARBY TECHNOLOGIES,3.8,Internet,1k-5k Employees,Startup,8,Chennai
Finecons,3.7,Hardware & Networking,,,24,Chennai
Live Connections,3.7,Recruitment,201-500 Employees,,28,Chennai
Oracle,3.8,Software Product,50k-1 Lakh Employees,Public,47,Chennai
Prophoenix Technologies,4.2,IT Services & Consulting,51-200 Employees,,20,Chennai
Krish IT Solutions,3.9,Financial Services,51-200 Employees,,22,Chennai
Wave Code Logix,4.8,Software Product,11-50 Employees,,11,Chennai
BorgWarner Morse Systems,3.8,Auto Components,201-500 Employees,,96,Chennai
HOCHTIEF,3.4,Engineering & Construction,51-200 Employees,,151,Chennai
FundsIndia,3.2,Internet,201-500 Employees,,16,Chennai
Global Hospital Pune India,3.8,,51-200 Employees,,12,Chennai
The Accord Metropolitan Hotel,4.5,Hospitality,201-500 Employees,,18,Chennai
Aqgromalin,3.7,Other,51-200 Employees,Startup,4,Chennai
Neeyamo Enterprise Solutions,3.7,,1k-5k Employees,,15,Chennai
Eagle Software,3.5,Software Product,51-200 Employees,,19,Chennai
Allcargo Logistics,3.9,Logistics,501-1k Employees,Public,31,Chennai
AachiGroup,4.2,,1k-5k Employees,,,Chennai
Vi Microsystems,3.0,Semiconductors,201-500 Employees,,39,Chennai
SHV Energy,3.9,Oil & Gas,201-500 Employees,,28,Chennai
Delfingen,3.8,Automobile,51-200 Employees,,70,Chennai
Madras Fertilizers,4.5,Agro Chemicals,501-1k Employees,Public,58,Chennai
Amromed,4.2,,,,,Chennai
Mastech InfoTrellis,4.1,,,,,Chennai
Vaya Life,4.5,,51-200 Employees,,8,Chennai
Anand CY Myutec Automotive,4.1,Auto Components,201-500 Employees,,32,Chennai
Netcon Technologies,4.1,IT Services & Consulting,201-500 Employees,,17,Chennai
PCBL Limited,3.9,Petrochemicals,1k-5k Employees,Public,64,Chennai
Zuari Cement,4.4,Building Material,1k-5k Employees,,24,Chennai
Tag Worldwide,3.5,Content Development,201-500 Employees (Global),,24,Chennai
NAPC,3.6,Engineering & Construction,501-1k Employees (Global),Public,75,Chennai
Acetech Heavy Fab,3.0,Industrial Machinery,51-200 Employees,,31,Chennai
Addison,3.5,Design,501-1k Employees,,62,Chennai
Portea Medical,4.4,Healthcare,1k-5k Employees,Startup,11,Chennai
Triad Software,3.7,,51-200 Employees,,26,Chennai
Edelweiss,3.8,Financial Services,1k-5k Employees,Public,7,Chennai
Smartek21,3.8,IT Services & Consulting,201-500 Employees,,18,Chennai
Lycatech Services,3.2,Telecom,51-200 Employees (Global),,18,Chennai
CRUD Operations Private Limited,4.9,Software Product,11-50 Employees,Startup,,Chennai
KSA PowerInfra,3.4,Power,51-200 Employees,,13,Chennai
Mtandt,3.8,Industrial Machinery,51-200 Employees,,50,Chennai
Hsi Automotive,3.9,Auto Components,51-200 Employees,,27,Chennai
Magic Bus India Foundation,4.0,Non-Profit,1k-5k Employees,,25,Chennai
Future Pipe Industries,3.6,Oil & Gas,1k-5k Employees (Global),,40,Chennai
Gainwell Technologies,4.1,IT Services & Consulting,501-1k Employees,,15,Chennai
Wissend,3.5,IT Services & Consulting,,,,Chennai
Aalam Info Solutions,4.7,,,,8,Chennai
Tata Technologies,3.8,Engineering & Construction,5k-10k Employees,Conglomerate,35,Chennai
Emerson Electric Co.,4.2,IT Services & Consulting,5k-10k Employees,Public,134,Chennai
Anderson Diagnostics & Labs,3.2,,51-200 Employees,,15,Chennai
Sarvam Safety Equipment,3.9,Industrial Machinery,11-50 Employees,,12,Chennai
Precision Equipments (Chennai),3.5,Industrial Machinery,,,,Chennai
Boston Harbor Consulting,3.3,,,,,Chennai
Phoenix Medical Systems,3.2,,51-200 Employees,,35,Chennai
BVG India,4.0,Facility Management Services,50k-1 Lakh Employees,,27,Chennai
Shield Healthcare (India),4.0,,51-200 Employees,,,Chennai
Gainers Infotech,4.5,Recruitment,11-50 Employees (Global),,12,Chennai
Vikatan,3.4,Broadcasting,,,27,Chennai
Soft Suave Technologies,3.4,IT Services & Consulting,201-500 Employees,,12,Chennai
Saisystems Health,4.0,,,,,Chennai
Modulus Housing,3.5,Engineering & Construction,11-50 Employees,,,Chennai
Pizza Hut,4.0,Hospitality,1k-5k Employees,,66,Chennai
Greaves Cotton,4.1,Auto Components,501-1k Employees,Public,165,Chennai
SYSVEDA Information Technology,3.4,IT Services & Consulting,51-200 Employees,,,Chennai
The Park Hotels,4.3,Hospitality,1k-5k Employees,,57,Chennai
Polaris,3.5,Automobile,201-500 Employees,,13,Chennai
Impiger Technologies,3.9,Software Product,201-500 Employees,,20,Chennai
Technosoft,3.8,,,,,Chennai
Sungwoo Stamping,4.0,Metals & Mining,,,19,Chennai
Plada Infotech Services,3.7,IT Services & Consulting,11-50 Employees,,14,Chennai
L&T Heavy Civil Infrastructure,4.3,Engineering & Construction,5k-10k Employees,,,Chennai
Vajro,3.4,Software Product,51-200 Employees,Startup,6,Chennai
Spinks Softech,4.4,Auto Components,,,36,Chennai
Geojit Financial Services,3.7,,1k-5k Employees,Public,37,Chennai
Woory Automotive India,3.6,Automobile,201-500 Employees (Global),,35,Chennai
Nielsen,3.8,Analytics & KPO,1k-5k Employees,,101,Chennai
Bet Medical,3.8,,51-200 Employees,,33,Chennai
SEW Eurodrive india,4.3,Auto Components,201-500 Employees,,27,Chennai
Siam Computing,3.0,IT Services & Consulting,51-200 Employees,,12,Chennai
Karvy Data Management,3.2,,,,,Chennai
ZoomInfo,3.7,Internet,,,24,Chennai
UDS,3.7,Facility Management Services,10k-50k Employees,,39,Chennai
Coronis Ajuba Solutions,3.6,,,,,Chennai
ACC,4.0,Building Material,5k-10k Employees,Public,88,Chennai
Omega,3.8,Industrial Machinery,1k-5k Employees,,,Chennai
Reliance Nippon Life Insurance,3.9,Insurance,10k-50k Employees,,24,Chennai
Thirumoolar Software,4.2,,,,,Chennai
Life Insurance Corporation of India,4.4,Insurance,1 Lakh+ Employees,Fortune India 500,68,Chennai
Foxconn Hon Hai Technology Mega Development,4.2,,,,,Chennai
Redserv Global Solutions,3.6,,,,,Chennai
PPMS Field Marketing,4.1,,501-1k Employees,,,Chennai
Otto Clothing,4.4,,,,20,Chennai
Varun Beverages,4.1,Beverage,5k-10k Employees,Public,29,Chennai
OpenText Technologies,3.8,Software Product,1k-5k Employees,,33,Chennai
Vibrant Ndt Services,3.7,Industrial Machinery,201-500 Employees,,11,Chennai
OEG INDIA,3.4,Oil & Gas,1k-5k Employees (Global),,17,Chennai
Cognet HR Solutions,3.2,BPO,51-200 Employees,,,Chennai
Force Motors,3.6,Automobile,1k-5k Employees,Public,66,Chennai
Wipro HR Services,3.4,Recruitment,,,,Chennai
MAHLE Engine Components,3.9,Automobile,201-500 Employees,,104,Chennai
Qbss,3.9,IT Services & Consulting,1k-5k Employees,,,Chennai
Fincare Small Finance Bank,4.1,Banking,10k-50k Employees,,17,Chennai
Kryptos Technologies,3.9,IT Services & Consulting,51-200 Employees,,18,Chennai
Narayana e-Techno School,4.4,Education & Training,501-1k Employees,,12,Chennai
Health Care Global Enterprises,4.2,Healthcare,5k-10k Employees,Public,35,Chennai
Radial Omnichannel Technologies,4.1,,,,,Chennai
Usha Fire Safety Equipments,3.5,Industrial Machinery,51-200 Employees,,36,Chennai
Venus Home Appliances,4.2,Consumer Electronics & Appliances,501-1k Employees,,60,Chennai
Treeline Business Solutions,3.9,BPO,51-200 Employees,,,Chennai
CREW(P)LTD,4.1,Industrial Machinery,10k-50k Employees,,40,Chennai
Image Infotainment,3.6,EdTech,201-500 Employees,Public,28,Chennai
Zylog Systems,4.0,IT Services & Consulting,501-1k Employees,Public,29,Chennai
Rage Communications,3.9,Internet,201-500 Employees,,28,Chennai
Naraiuran Controls India,4.0,Architecture & Interior Design,501-1k Employees (Global),,,Chennai
Srimukha Precision Products,4.3,Auto Components,501-1k Employees,,,Chennai
Redim Information Systems,3.9,IT Services & Consulting,51-200 Employees,,21,Chennai
Cybernet Slash Support,3.7,IT Services & Consulting,,,28,Chennai
GRT Grand,4.7,,501-1k Employees (Global),,,Chennai
Rp Telebuy Skyshop,3.8,Marketing & Advertising,501-1k Employees (Global),,18,Chennai
Leo Primecomp,4.1,Industrial Machinery,201-500 Employees,,,Chennai
Amco Batteries,4.1,Auto Components,201-500 Employees,Public,69,Chennai
LENNOX INDIA TECHNOLOGY CENTER,4.4,,,,,Chennai
Surfboard Payments,4.3,FinTech,51-200 Employees,,,Chennai
Haier Appliances India,4.1,Consumer Electronics & Appliances,1k-5k Employees,Conglomerate,20,Chennai
Mondelez International,4.4,Food Processing,1k-5k Employees,Forbes Global 2000,12,Chennai
Cedar Business Solutions,2.8,Management Consulting,51-200 Employees,,,Chennai
STC Technologies,3.9,Telecom,201-500 Employees,,21,Chennai
Dhani Loans and Services,3.9,NBFC,1k-5k Employees,,,Chennai
Viasat,3.2,Telecom,201-500 Employees,Public,38,Chennai
Evolv Clothing Company,4.0,Retail,51-200 Employees,,49,Chennai
Severn Glocon Group,4.0,Oil & Gas,201-500 Employees,,63,Chennai
Tvs Sundram Motors,4.2,,11-50 Employees,,,Chennai
TamilNadu e - Governance Agency,2.7,,201-500 Employees (Global),,,Chennai
Casa Grande Prop Care,4.3,Hospitality,51-200 Employees,,13,Chennai
VST Motors,4.3,Automobile,1k-5k Employees,,75,Chennai
Raymond,4.1,Fashion & Textile,5k-10k Employees,Public,99,Chennai
TUV SUD,4.0,Other,1k-5k Employees,,158,Chennai
Skypro Technologies,3.6,IT Services & Consulting,51-200 Employees,,13,Chennai
Ctmil,3.6,Industrial Machinery,,,,Chennai
Camu,4.0,Software Product,,,11,Chennai
MatrixCare India,4.6,IT Services & Consulting,51-200 Employees,,,Chennai
Fenesta Building Systems,4.1,Building Material,1k-5k Employees,,21,Chennai
Clover Infotech,3.7,IT Services & Consulting,1k-5k Employees,,30,Chennai
Eximio Services & Solutions,3.4,,1-10 Employees,,,Chennai
Aptara,3.3,Printing & Publishing,1k-5k Employees,,36,Chennai
Sharekhan,4.0,Financial Services,1k-5k Employees,Public,24,Chennai
Urban Company,3.6,Internet,1k-5k Employees,Indian Unicorn,9,Chennai
Vijay Nirman Company,3.6,Engineering & Construction,1k-5k Employees,,42,Chennai
Gvw Technologies,4.0,,51-200 Employees,,14,Chennai
Teyro Labs,3.0,,,,,Chennai
Trac Fujico Air Systems,2.1,Industrial Machinery,201-500 Employees,,34,Chennai
BI WORLDWIDE,4.0,,201-500 Employees,,74,Chennai
MulticoreWare,4.0,IT Services & Consulting,51-200 Employees,,15,Chennai
Qualcomm,4.0,Semiconductors,10k-50k Employees,Forbes Global 2000,28,Chennai
Quatrro,3.5,BPO,501-1k Employees,,19,Chennai
Kosei Minda Aluminum Company,4.1,,,,,Chennai
NORTHERN LIGHTS TECHNOLOGY DEVELOPMENT,3.7,IT Services & Consulting,51-200 Employees,,17,Chennai
Goms Electricals,3.0,Electrical Equipment,51-200 Employees,,40,Chennai
Mudhra fine blanc,4.1,Auto Components,51-200 Employees (Global),,17,Chennai
Prashanth Superspeciality Hospital,3.9,Healthcare,,,8,Chennai
S4Carlisle Publishing Services,3.8,Printing & Publishing,201-500 Employees,,23,Chennai
Eaton Corporation,4.0,Power,5k-10k Employees,Public,113,Chennai
Associated Auto Solutions International,3.5,,51-200 Employees,,,Chennai
AAI Cargo Logistics and Allied Services Company,2.6,,501-1k Employees,,,Chennai
GRT Hotels & Resorts,4.6,Hospitality,1k-5k Employees,,26,Chennai
Northern Arc Capital,3.8,Financial Services,201-500 Employees,Public,35,Chennai
Psa Citpl,3.1,,201-500 Employees (Global),,17,Chennai
NTN NEI Manufacturing,4.1,,5k-10k Employees (Global),,106,Chennai
Creamline Dairy Products,4.3,Food Processing,501-1k Employees,,38,Chennai
Mercury Fittings,3.9,Industrial Machinery,51-200 Employees,,41,Chennai
Prince Pipes & Fittings,4.3,Building Material,1k-5k Employees,Public,37,Chennai
Alight Solutions,4.0,IT Services & Consulting,1k-5k Employees,,28,Chennai
Argus Cosmetics,3.3,Beauty & Personal Care,51-200 Employees,,32,Chennai
Bajaj Housing Finance,3.8,NBFC,1k-5k Employees,,16,Chennai
QHTalbros,3.6,Auto Components,5k-10k Employees,Public,38,Chennai
IndiaFirst Life Insurance,4.1,Insurance,1k-5k Employees,,15,Chennai
Adidas,4.0,Fashion & Textile,5k-10k Employees,Public,75,Chennai
Layam Management Solutions,3.3,Recruitment,11-50 Employees (Global),,17,Chennai
Kal Cables,4.1,Telecom,201-500 Employees,,21,Chennai
V5 Global Services,3.9,Recruitment,10k-50k Employees,,19,Chennai
Base Automation Technologies,3.7,,51-200 Employees,,29,Chennai
KritiLabs Technologies,3.9,Internet,501-1k Employees,Startup,12,Chennai
The Deal,3.6,,51-200 Employees,,,Chennai
OfficeFrameWork,3.2,,,,,Chennai
Spinco Biotech,3.8,Biotechnology,201-500 Employees,,43,Chennai
Talent Maximus,3.6,Recruitment,201-500 Employees,,19,Chennai
Ppap Automotive,3.7,Auto Components,1k-5k Employees,Public,46,Chennai
Centre for Development of Advanced Computing,3.9,IT Services & Consulting,1k-5k Employees,,36,Chennai
N+A,3.7,Financial Services,,,,Chennai
University of Madras,4.0,Education & Training,501-1k Employees,,167,Chennai
CreditMantri,4.0,Internet,51-200 Employees,Startup,12,Chennai
Sundaram BNP Paribas Fund Services,4.1,Investment Banking / Venture Capital / Private Equity,10k-50k Employees (Global),,19,Chennai
Genesys Telecommunications Laboratories,4.7,Software Product,,,,Chennai
Inser Hitech Engineers,4.6,,51-200 Employees (Global),,15,Chennai
MF media,3.8,Design,51-200 Employees,,22,Chennai
Azidus,4.5,Clinical Research,51-200 Employees,,,Chennai
KloudOne,2.9,,,,,Chennai
Venper Academy,4.0,Education & Training,201-500 Employees,,10,Chennai
HP Global e-Business Operations,4.2,BPO,1-10 Employees,Public,85,Chennai
Corent Technology,3.6,IT Services & Consulting,51-200 Employees,,24,Chennai
Quadsel Systems,2.0,IT Services & Consulting,51-200 Employees,,28,Chennai
PUMA,4.3,Fashion & Textile,1k-5k Employees,,76,Chennai
SunSmart Technologies,4.2,,51-200 Employees,,20,Chennai
Ample Technologies,3.8,IT Services & Consulting,501-1k Employees,,28,Chennai
Thomson Digital,4.0,Printing & Publishing,201-500 Employees,,62,Chennai
eG Innovations,4.0,IT Services & Consulting,51-200 Employees,,23,Chennai
Petro6 Engineering & Constructions,4.2,Oil & Gas,201-500 Employees (Global),,14,Chennai
VVD & Sons,3.6,FMCG,51-200 Employees,,81,Chennai
Aditya Birla Health Insurance Co,3.9,Insurance,1k-5k Employees,,9,Chennai
ABC Techno Labs,3.3,Financial Services,201-500 Employees,,,Chennai
InsanelyGood,4.1,Internet,11-50 Employees,Startup,9,Chennai
ALLEN Career Institute,4.1,Education & Training,10k-50k Employees,,36,Chennai
DSV - Global Transport and Logistics,4.1,Logistics,501-1k Employees,,48,Chennai
Goodwill Commodities,3.6,Investment Banking / Venture Capital / Private Equity,1-10 Employees,,16,Chennai
L&T Power Transmission & Distribution,4.4,Power,1k-5k Employees,,,Chennai
Chennai Publishing Services,3.7,Printing & Publishing,,,,Chennai
Clayfin Technologies,3.6,Software Product,201-500 Employees,,24,Chennai
Hindustan Petroleum,4.3,Oil & Gas,5k-10k Employees,Central,50,Chennai
Sical Logistics,3.8,Logistics,201-500 Employees,Public,69,Chennai
Hasbro Clothing,3.7,Fashion & Textile,51-200 Employees,,32,Chennai
Vascon Engineers,3.6,Real Estate,501-1k Employees,Public,38,Chennai
Gulf Oil Lubricants,4.1,Chemicals / Agri Inputs,501-1k Employees,Public,31,Chennai
Tristha Global,4.4,IT Services & Consulting,51-200 Employees,,8,Chennai
iTMDev Technologies,4.5,,,,,Chennai
Cpf India,3.1,Food Processing,501-1k Employees,,30,Chennai
Aarvi Encon,4.1,Recruitment,5k-10k Employees,Public,37,Chennai
Punch Ratna Fasteners,3.8,Industrial Machinery,201-500 Employees,,30,Chennai
National Institute of Ocean Technology,4.2,Education & Training,201-500 Employees,,,Chennai
Ags Cinemas,4.3,Media & Entertainment,51-200 Employees,,16,Chennai
Pyung Hwa,3.8,Auto Components,51-200 Employees,,74,Chennai
Greatoo,2.8,Industrial Automation,,,13,Chennai
ICU Medical,4.2,Medical Equipment,1k-5k Employees (Global),,40,Chennai
Ganges Internationale,3.0,Power,1k-5k Employees,,33,Chennai
Ebixcash Global Services,3.7,,,,,Chennai
Faber Sindoori Management Services,4.2,Facility Management Services,1k-5k Employees (Global),,17,Chennai
Nihilent,3.6,IT Services & Consulting,1k-5k Employees,,24,Chennai
Appaswamy Real Estates,4.2,Financial Services,51-200 Employees,Public,65,Chennai
Big Bazaar,4.3,Retail,10k-50k Employees,Conglomerate,23,Chennai
Gembrill Technologies,2.9,IT Services & Consulting,51-200 Employees,,27,Chennai
Amara Raja Energy & Mobility,4.3,Auto Components,5k-10k Employees,Fortune India 500,39,Chennai
Lloyd Insulations,3.6,Industrial Machinery,501-1k Employees,,66,Chennai
Doowon Automotive,4.1,Auto Components,1k-5k Employees,,41,Chennai
People Prime Worldwide,3.5,Recruitment,501-1k Employees,,12,Chennai
Zen Linen International,3.5,Fashion & Textile,51-200 Employees,,17,Chennai
Triumph International,3.7,Fashion & Textile,201-500 Employees,,138,Chennai
Vidal Health Tpa,3.7,Insurance,201-500 Employees,,22,Chennai
Fives Cail-kcp,4.2,,51-200 Employees,,29,Chennai
Symrise,3.9,Internet,51-200 Employees,,150,Chennai
NELCAST,3.6,Iron & Steel,501-1k Employees,Public,42,Chennai
ENEXIO Power Cooling Solutions India,3.8,Power,51-200 Employees,,,Chennai
Primus Global Technologies,4.1,IT Services & Consulting,11-50 Employees,,22,Chennai
Flyers Soft,4.8,IT Services & Consulting,51-200 Employees,,5,Chennai
Novotel Hotels,4.5,Hospitality,1k-5k Employees,,57,Chennai
Teva Pharmaceuticals,4.2,Pharma,1k-5k Employees,Forbes Global 2000,123,Chennai
Cancer Institute Adyar,4.1,Education & Training,201-500 Employees (Global),,,Chennai
iElektron Technologies,3.5,,51-200 Employees,,,Chennai
Cp Aquaculture,4.4,Agriculture,501-1k Employees,,30,Chennai
Nash Industries,3.6,Industrial Machinery,501-1k Employees,,53,Chennai
Xybion Corporation,3.0,IT Services & Consulting,51-200 Employees,,47,Chennai
ICICI Prudential Mutual Fund,3.8,Financial Services,1k-5k Employees,,31,Chennai
Formoplastic Controls,3.8,Electronics Manufacturing,51-200 Employees,,52,Chennai
Aarthi Scans and Labs,3.8,Healthcare,1k-5k Employees,,,Chennai
Trianz,3.8,IT Services & Consulting,1k-5k Employees,,23,Chennai
Merrill Technology Services,3.1,IT Services & Consulting,501-1k Employees (Global),,56,Chennai
Bharath University,3.8,Education & Training,201-500 Employees,,,Chennai
Spiro Solutions,3.4,Education & Training,201-500 Employees (Global),,19,Chennai
IndusTeqsite,3.7,Financial Services,201-500 Employees (Global),,26,Chennai
DSNL,4.0,Telecom,201-500 Employees,,20,Chennai
Congruent Info-Tech,4.1,IT Services & Consulting,51-200 Employees,,24,Chennai
Zetek Castings,4.1,Metals & Mining,51-200 Employees,,20,Chennai
CA Infotech,4.1,IT Services & Consulting,51-200 Employees,,,Chennai
Gsh Utilities Services,4.0,Facility Management Services,,,10,Chennai
Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College,4.0,Education & Training,201-500 Employees,,,Chennai
Hindustan Institute of Technology and Science,2.7,Education & Training,201-500 Employees,,,Chennai
SWORD GROUP,3.7,IT Services & Consulting,51-200 Employees,,24,Chennai
Grace Infotech,4.2,,,,,Chennai
Alphind Software Solutions,4.0,IT Services & Consulting,51-200 Employees,,13,Chennai
Alkem Laboratories,4.0,Pharma,10k-50k Employees,Public,51,Chennai
Debtcare Enterprises,4.5,Investment Banking / Venture Capital / Private Equity,501-1k Employees,,16,Chennai
Whirlpool,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,113,Chennai
Relationship Science,4.2,Internet,501-1k Employees (Global),,14,Chennai
Proklean Technologies,4.0,Chemicals,51-200 Employees,,12,Chennai
Madras High Court,4.7,Government,1k-5k Employees (Global),,,Chennai
DS Connectors and Cables,3.7,,501-1k Employees,,,Chennai
